2023-06-14 16:44:17.497 | ERROR | 2-thread-6 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.524 | ERROR | 2-thread-7 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.546 | ERROR | 2-thread-8 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.685 | ERROR | 2-thread-9 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.709 | ERROR | -thread-11 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.732 | ERROR | -thread-12 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.756 | ERROR | -thread-13 | .ISaDA.NewsProcessor:40    | Unexpected character (Г) at position 590.
2023-06-14 16:44:17.776 | ERROR | -thread-15 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.798 | ERROR | -thread-16 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.812 | ERROR | Thread-10  | A.ElasticBulkCreator:66    | Ошибка во время индексации статей!
2023-06-14 16:44:17.812 | ERROR | Thread-10  | A.ElasticBulkCreator:69    | [[-54, 122, 69, -127, -28, 106, -50, 110, -39, -6, -110, -120, 16, -92, 109, -113]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.812 | ERROR | Thread-10  | A.ElasticBulkCreator:69    | [[65, -24, -50, -115, 97, -108, -82, 63, -77, 5, 73, -71, 12, -43, 3, 28]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.812 | ERROR | Thread-10  | A.ElasticBulkCreator:69    | [[-87, -48, 100, 37, -81, -34, 7, 14, 108, 119, 3, 62, -11, 74, 46, 14]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.813 | ERROR | Thread-10  | A.ElasticBulkCreator:69    | [[-1, -112, 105, 0, 4, -67, 49, 98, 114, -91, -113, 23, -8, -121, -20, 122]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.813 | ERROR | Thread-10  | A.ElasticBulkCreator:69    | [[-91, -26, -52, 50, 124, -12, 65, -125, -1, 20, 3, -101, 28, -7, -66, -75]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.813 | ERROR | Thread-10  | A.ElasticBulkCreator:69    | [[-105, 6, -123, 12, 5, 124, -10, -39, 20, -31, 29, 25, -11, 18, 91, -5]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.813 | ERROR | Thread-10  | A.ElasticBulkCreator:69    | [[-24, -85, -4, -15, -124, 5, 4, -49, -35, 13, -70, -65, -128, 69, -112, 52]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.813 | ERROR | Thread-10  | A.ElasticBulkCreator:69    | [[-9, 40, 93, -76, 48, 65, -39, -51, -48, -49, 75, -107, 97, -78, -104, -56]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.813 | ERROR | Thread-10  | A.ElasticBulkCreator:69    | [[123, 65, -16, -111, 73, -74, -16, 71, 127, 68, -1, 10, -115, 126, -103, 21]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.813 | ERROR | Thread-10  | A.ElasticBulkCreator:69    | [[122, 32, 80, 12, -12, -52, -81, -90, -108, -105, -12, 13, 50, -106, -16, 18]]: version conflict, document already exists (current version [1])
2023-06-14 16:44:17.818 | ERROR | -thread-18 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
2023-06-14 16:44:17.841 | ERROR | 2-thread-3 | .ISaDA.NewsProcessor:36    | -> Статья добавлена в очередь на обработку!
